Thu Dec 29 2022 10:46:21 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 10:47:27 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 10:47:27 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 11:34:29 GMT+0700 (Indochina Time); error; Error: ,Invalid `prisma.purchase_invoice.create()` invocation in,D:\Repos\profilIndahNode\src\model\purchase_document.model.ts:51:36,,  48 },  49 ,  50 create() {,→ 51   return prisma.purchase_invoice.create(,  The column `faktur` does not exist in the current database.; Good Receipt - Create; 1
Thu Dec 29 2022 11:34:51 GMT+0700 (Indochina Time); error; Error: ,Invalid `prisma.purchase_invoice.create()` invocation in,D:\Repos\profilIndahNode\src\model\purchase_document.model.ts:51:36,,  48 },  49 ,  50 create() {,→ 51   return prisma.purchase_invoice.create(,  The column `faktur` does not exist in the current database.; Good Receipt - Create; 1
Thu Dec 29 2022 11:40:25 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 16) dari Test (ID: 16) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Thu Dec 29 2022 15:32:17 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 15:32:17 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 15:35:21 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 15:35:21 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 15:36:35 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 15:36:35 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 15:37:52 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 15:37:52 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 15:40:54 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 15:40:54 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 15:48:11 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 15:48:11 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 16:46:58 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 16:46:58 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 16:48:05 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 16:48:05 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Thu Dec 29 2022 16:48:48 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Dec 29 2022 16:48:48 GMT+0700 (Indochina Time); warn; Login failed for username danielrudiantos; Auth controller - Login; 0
Fri Dec 30 2022 06:16:01 GMT+0700 (Indochina Time); info; Lani Liem updated brand with the name 3 BERLIANS (ID: 68); Brand - Create; 1
Fri Dec 30 2022 06:17:30 GMT+0700 (Indochina Time); info; Lani Liem updated brand with the name 3 BERLIAN (ID: 68); Brand - Create; 1
Fri Dec 30 2022 06:19:45 GMT+0700 (Indochina Time); info; Daniel Tri updated brand with the name 3 BERLIAN (ID: 68); Brand - Create; 1
Thu Jan 05 2023 10:13:31 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan faktur penjualan INV-2023-09210241 (ID: 196); Bill controller - Create; 1
Thu Jan 05 2023 10:15:57 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan faktur penjualan INV-2023-95056792 (ID: 197); Bill controller - Create; 1
Fri Jan 06 2023 10:06:12 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 52) dari KONISHI LEMINDO INDONESIA (ID: 52) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Mon Jan 09 2023 15:22:50 GMT+0700 (Indochina Time); error; TypeError: Cannot set property '_minWidth' of undefined; Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 15:22:51 GMT+0700 (Indochina Time); error; TypeError: Cannot set property '_minWidth' of undefined; Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 15:22:53 GMT+0700 (Indochina Time); error; TypeError: Cannot set property '_minWidth' of undefined; Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 15:23:48 GMT+0700 (Indochina Time); error; TypeError: Cannot set property '_minWidth' of undefined; Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 15:24:29 GMT+0700 (Indochina Time); error; TypeError: Cannot set property '_minWidth' of undefined; Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 15:25:08 GMT+0700 (Indochina Time); error; TypeError: Cannot set property '_minWidth' of undefined; Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 22:49:52 GMT+0700 (Indochina Time); error; Invalid image: Error: ENOENT: no such file or directory, open '/assets/header.png',Images dictionary should contain dataURL entries (or local file paths in node.js); Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 22:49:54 GMT+0700 (Indochina Time); error; Invalid image: Error: ENOENT: no such file or directory, open '/assets/header.png',Images dictionary should contain dataURL entries (or local file paths in node.js); Report controller - Fetch Profit Loss; null
Mon Jan 09 2023 22:50:13 GMT+0700 (Indochina Time); error; Invalid image: Error: ENOENT: no such file or directory, open '../assets/header.png',Images dictionary should contain dataURL entries (or local file paths in node.js); Report controller - Fetch Profit Loss; null
Tue Jan 10 2023 10:44:24 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Jan 12 2023 11:40:18 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan faktur penjualan INV-2023-88939901 (ID: 516); Bill controller - Create; 1
Thu Jan 12 2023 22:01:31 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Jan 12 2023 22:01:37 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Jan 12 2023 22:18:49 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Jan 12 2023 22:22:18 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Jan 12 2023 22:26:43 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Fri Jan 13 2023 13:16:47 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan faktur penjualan INV-2023-40567388 (ID: 517); Bill controller - Create; 1
Sat Jan 14 2023 17:46:22 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 56) dari ENKEVINDO (ID: 56) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Sat Jan 14 2023 17:47:18 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 57) dari ENKEVINDO (ID: 57) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Sat Jan 14 2023 17:47:32 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 58) dari ENKEVINDO (ID: 58) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Sat Jan 14 2023 17:48:05 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 59) dari KONISHI LEMINDO INDONESIA (ID: 59) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Sun Jan 15 2023 11:38:57 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 61) dari KONISHI LEMINDO INDONESIA (ID: 61) untuk perusahaan Toko Profil Indah (ID: 1); Good Receipt controller - Create; 1
Sun Jan 15 2023 11:39:51 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 62) dari KONISHI LEMINDO INDONESIA (ID: 62) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Sun Jan 15 2023 11:41:42 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 63) dari ENKEVINDO (ID: 63) untuk perusahaan CV Karunia Maju Bersama (ID: 2); Good Receipt controller - Create; 1
Sun Jan 15 2023 11:59:01 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 64) dari KONISHI LEMINDO INDONESIA (ID: 64) untuk perusahaan Toko Profil Indah (ID: 1); Good Receipt controller - Create; 1
Sun Jan 15 2023 11:59:43 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan penerimaan barang (ID: 65) dari KONISHI LEMINDO INDONESIA (ID: 65) untuk perusahaan Toko Profil Indah (ID: 1); Good Receipt controller - Create; 1
Sun Jan 15 2023 17:18:02 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan faktur penjualan INV-2023-73094761 (ID: 518); Bill controller - Create; 1
Sun Jan 15 2023 17:19:02 GMT+0700 (Indochina Time); info; Daniel Tri berhasil menambahkan faktur penjualan INV-2023-67615271 (ID: 519); Bill controller - Create; 1
Mon Jan 16 2023 12:42:56 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Mon Jan 16 2023 15:02:24 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Wed Jan 18 2023 10:57:37 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Thu Jan 19 2023 10:57:37 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
Wed Jan 25 2023 00:20:16 GMT+0700 (Indochina Time); info; Login success for username danielrudianto; Auth controller - Login; 1
